id,category,item,status,source,url,dateFound,whatItProves,usagePermission,confidence,relatedProject,finalStatus,notes
"R-mof-registry","Credentials","Recognised contractor listing — company 513785527","web","Ministry of Finance — recognised contractors registry","https://asset.mof.gov.il/contractorRepository/s/","2026-09-24","Registered name ""וליד חסן תשתיות עפר ופיתוח בע״מ"", company no. 513785527, certificate 13.11.2024–13.11.2026, sub-branches 200 and 260","not-required","high","","Shown as NEEDS_CONFIRMATION (credentials, timeline)","Registry needs login; details read from search-engine snippets. Confirm with the company's certificate."
"R-classifications","Credentials","Contractor no. 28803 · G1 · G5 · B4 · B1","needs-confirmation","Earlier research (Asset Strategy §8)","","2026-09-24","Contractor number and classifications","not-required","medium","","Shown as NEEDS_CONFIRMATION","One public summary described the 200 classification as G4 — check G5 against the certificate."
"R-facebook-page","Company","Company Facebook page","web","Facebook — page titled ""וליד חסן תשתיות עפר ופיתוח בע״מ""","https://www.facebook.com/100063619101665/","2026-09-24","Official social presence; albums and videos of company works","requested","high","","Linked in footer (social)","Ask the company for the original files behind the album photos and videos — best source of real project imagery."
"R-facebook-album","Projects","Company Facebook photo album","web","","https://www.facebook.com/100063619101665/albums/116975663112678/","2026-09-24","Photos of company works","requested","high","","Not used — originals requested",""
"R-facebook-video","Video","Company Facebook video","web","","https://www.facebook.com/100063619101665/videos/2738968216172908/","2026-09-24","Video footage of company works (candidate for hero / project video)","requested","high","","Not used — original file requested",""
"R-bruchin-amana","Projects","Post ""עבודות בברוכין פרויקט אמנה""","web","Company Facebook page","https://www.facebook.com/100063619101665/posts/100757044734540/","2026-09-24","Company carried out works in Bruchin for an Amana project","requested","medium","bruchin-amana","Project page shown as NEEDS_CONFIRMATION with GENERATED illustration",""
"R-volvo-ec300e","Equipment","Volvo EC300E excavator delivery post","web","Volvo dealer Gilboa — Facebook","https://www.facebook.com/gilboa.volvo/posts/1391925860922845/","2026-09-24","Company took delivery of a new Volvo EC300E","unknown","medium","","Equipment item NEEDS_CONFIRMATION with GENERATED drawing",""
"R-metso-lt1213s","Equipment","Metso LT1213S crusher delivery post","web","M. Bar (Metso supplier) — Facebook","https://www.facebook.com/mbar.ltd/posts/636146386581775/","2026-09-24","Company received a Metso LT1213S mobile crusher","unknown","medium","","Equipment item NEEDS_CONFIRMATION with GENERATED drawing",""
"R-waze","Contact","Waze business listing","needs-confirmation","Earlier research","","2026-09-24","Business location","not-required","medium","","Not used — address/phone still placeholders","Add the listing URL and use it as contact.wazeUrl once the company confirms the address."
"R-duns","Contact","Dun's Guide listing","needs-confirmation","Earlier research","","2026-09-24","Company details (address, phone, activity)","not-required","medium","","Not used","Search results mostly surface an unrelated confectionery with a similar name — match on company number."
